UniqueCount	AmbigCount
85	0
7	0
19	14
25	30
0	95
0	13
5	34
460	1
15	4
0	0
39	179
14	0
0	0
0	0
0	0
4	44
152	0
0	37
0	0
0	95
0	1
0	0
6	0
0	0
0	103
0	38
1	41
0	0
0	0
15	748
0	0
0	111
0	72
0	10
0	0
15	0
19	0
0	27
0	0
142	0
0	0
4	0
5	228
0	1
4	39
0	0
0	0
2	0
0	0
12	0
25	0
0	0
1	0
1	4
0	24
0	19
2	0
21	30
87	0
1	29
0	5
0	4
0	1
0	0
0	0
6	0
0	0
12	6
6	0
0	10
70	15
3	187
138	203
0	17
0	0
70	0
1	0
0	18
22	8
0	594
0	43
0	118
0	0
1	0
0	24
0	5
83	0
0	28
0	16
0	71
177	0
2	0
0	59
161	0
0	20
7	11
87	199
4	11
0	0
32	0
2	274
0	1
81	0
0	0
31	0
4	11
0	149
0	34
12	4
56	0
0	16
0	0
0	29
2	0
1	0
16	1189
1	0
0	272
8	0
131	44
0	0
0	38
8	0
12	0
0	172
371	0
0	0
0	0
37	353
2	87
3	10
14	0
16	64
51	818
129	87
0	0
0	0
0	5
0	0
0	0
0	134
21	17
0	0
0	1
231	65
98	0
275	42
1	27
13	8
0	0
13	0
0	0
0	19
52	175
0	22
5	27
0	0
0	0
4	0
6	4
0	0
0	2
0	0
2	0
1	0
0	0
0	14
0	0
36	0
85	0
0	91
0	413
0	77
31	0
8	0
0	439
239	0
59	0
0	2
5	27
3	0
0	0
0	15
0	1
0	0
2	9
0	0
0	0
1	0
0	0
0	0
234	74
0	2
0	38
11	1129
0	0
6	2
46	0
9	73
1	0
5	0
19	0
0	322
0	0
3	10
51	0
8	0
89	8
0	20
0	0
27	22
0	5
0	3
1	3
220	15
64	0
0	0
0	28
0	2
15	0
5	44
0	184
0	0
0	0
0	189
0	0
20	13
0	137
210	13
0	0
0	9
0	37
0	14
0	1
0	0
0	0
0	0
0	113
0	17
1	0
0	12
0	10
54	13
0	1
0	34
131	31
0	3
498	0
0	3
107	107
1	223
0	15
0	0
240	73
42	24
0	0
27	12
5	338
36	0
2	0
0	4
0	2
0	1
0	0
0	0
2	71
0	105
0	0
0	347
0	6
0	13
0	0
0	13
325	215
0	149
33	13
2	3
0	0
0	0
125	403
81	0
0	438
0	0
4	0
0	0
0	6
12	0
0	2
10	42
0	0
25	0
0	422
2	0
0	0
0	0
0	53
423	20
45	0
15	163
93	0
163	0
20	0
600	0
41	4
5	59
0	8
0	0
0	34
141	2
0	2
0	1285
3	0
141	0
34	70
2	38
88	0
0	0
0	15
2	0
12	249
24	44
2	1
18	0
8	0
298	0
0	0
5	20
0	0
0	0
96	28
165	674
2	0
0	0
1	0
0	63
114	9
5	86
3	1
63	0
22	0
8	0
9	0
2	1
8	0
14	0
2	0
1	0
0	60
0	0
27	0
0	0
6	2
5	4
12	190
8	0
9	52
0	5
0	0
23	2
34	15
0	105
0	203
127	174
0	104
49	0
0	27
0	0
0	29
0	0
0	0
0	5
13	0
10	0
4	367
1	0
1	1
100	0
91	21
50	1
38	185
0	2
0	2
0	26
1774	1
0	13
155	47
0	0
0	0
0	0
12	0
5	1
6	0
0	500
70	9
16	21
48	2
23	4
49	0
34	15
0	0
1	583
0	2
2	159
0	8
13	10
81	0
0	37
33	357
0	19
1	5
2	10
93	0
95	68
3	47
0	1
3	15
0	3
6	4
14	0
0	271
0	0
341	0
410	0
2	0
0	162
2	128
0	4
9	0
4	0
210	24
0	160
3	138
9	0
14	21
152	86
16	734
0	0
15	0
1	10
0	34
0	12
6	0
0	1
