UniqueCount	AmbigCount
683	0
153	5
9	78
431	257
0	452
10	41
15	301
883	1
45	23
0	0
149	1213
37	5
18	0
0	1
1	0
22	82
159	1
8	287
0	0
0	1
1	62
0	0
176	0
6	1
12	289
0	104
0	76
2	0
26	0
15	2612
5	28
0	349
0	389
0	16
0	0
51	0
83	20
0	67
56	0
204	2
0	0
103	0
86	319
0	22
1	98
0	0
0	0
27	0
0	0
60	0
161	0
0	7
0	10
0	81
0	41
4	58
61	0
104	230
171	0
22	27
0	47
0	43
2	9
0	0
28	6
64	1
0	23
42	46
115	0
15	31
123	242
28	779
135	194
0	130
48	0
167	0
56	0
0	38
30	9
0	2335
1	146
0	244
0	1
99	0
1	238
4	87
133	34
16	125
29	85
0	559
164	0
3	1
1	345
598	0
0	229
49	42
148	274
33	29
13	8
88	0
0	660
0	28
82	0
8	0
400	41
47	229
0	438
0	95
158	47
240	4
15	55
0	0
0	75
54	0
72	18
136	3858
1	2
5	730
77	12
679	145
0	25
13	490
0	6
196	0
4	375
1201	0
4	0
0	0
51	1381
85	281
177	73
24	0
169	368
292	1755
183	102
57	0
57	0
0	227
2	5
0	0
0	309
297	77
40	0
29	38
865	240
431	0
282	77
4	81
33	198
0	20
785	0
3	8
0	115
387	358
48	169
30	105
1	0
7	0
6	0
20	89
6	38
1	68
0	3
47	0
51	0
0	0
4	102
2	0
29	0
346	15
0	394
28	1071
13	396
59	0
59	6
0	233
500	1
158	0
0	13
108	187
23	0
0	11
0	142
6	33
60	1
4	92
0	5
16	0
86	0
2	1
6	7
355	114
0	14
0	205
43	4829
0	0
109	24
150	0
3	106
16	7
254	0
9	0
0	945
0	0
37	85
36	0
55	7
145	35
0	177
1	3
139	55
2	46
0	15
5	33
384	40
249	1
73	0
0	2286
4	47
125	0
18	92
0	859
0	5
0	0
0	1266
1	0
83	19
24	273
1421	88
49	0
9	197
0	198
0	47
0	0
16	45
0	30
13	0
1	165
0	34
65	16
42	37
0	85
279	280
26	27
0	232
1595	312
26	232
1628	0
0	131
67	445
29	2062
34	33
0	0
828	282
158	42
0	0
210	338
41	1211
310	0
15	0
0	4
89	9
0	7
0	0
0	0
323	272
0	115
0	0
58	302
0	121
0	52
0	8
0	91
764	636
0	525
87	116
68	43
66	8
0	16
1267	1717
926	0
0	954
5	3
84	0
0	1
0	174
90	0
0	58
431	188
9	0
103	0
0	814
52	0
28	0
0	0
24	211
1862	254
203	0
47	195
335	0
1292	0
146	0
3626	0
12	11
65	276
1	353
0	83
47	113
346	8
0	36
0	4411
16	0
1158	0
231	291
46	123
839	0
44	0
2	81
15	0
61	728
126	121
62	53
229	0
108	0
979	0
3	0
65	297
0	0
64	0
387	89
511	1139
7	0
1	3
46	0
0	232
976	156
6	73
4	7
508	0
60	0
52	0
108	0
38	10
34	0
71	0
42	0
12	0
0	563
0	0
26	0
1	0
22	9
57	23
21	498
116	0
68	215
0	93
11	0
132	24
164	46
0	490
0	1801
248	276
0	36
363	1
1	119
18	0
0	287
37	0
1	72
0	82
63	0
344	0
36	1495
79	40
7	85
131	0
399	78
216	6
425	278
0	437
20	20
0	36
7949	0
1	26
723	240
27	0
11	4
0	1
28	0
51	150
37	0
16	1853
181	40
117	40
256	30
70	1
178	0
163	174
0	128
5	676
8	23
3	571
0	39
77	10
394	1
0	107
101	1098
0	131
2	86
23	25
88	0
383	255
22	369
1	21
38	83
0	10
47	49
105	0
0	1004
0	0
2447	0
381	0
138	16
6	421
2	943
0	103
7	0
29	1
2477	391
13	243
33	663
5	4
203	94
186	77
81	1149
0	1
101	0
12	49
0	47
6	89
101	0
0	10
0	105
0	26
7	361
37	35
4	2819
40	39
0	1224
0	391
2	17
84	86
112	0
18	8
6	745
0	0
135	45
3	67
0	18
347	115
123	18421
5	41
299	64
3	252
4	305
196	181
33	1
55	153
48	6
23	884
142	92
0	1
29	0
7	180
71	1120
422	0
103	32
169	0
31	12
1	0
53	0
0	0
12	283
2	57
409	0
