UniqueCount	AmbigCount
637	0
214	9
13	163
624	373
0	408
9	31
38	555
672	0
93	28
0	0
545	4843
33	9
12	0
0	0
0	0
30	40
125	0
0	57
4	0
0	8
0	17
1	0
145	0
0	0
13	411
0	117
0	66
10	17
41	0
17	2491
0	72
0	309
0	435
0	39
0	0
30	0
23	18
0	67
33	0
85	0
0	0
58	0
50	325
0	46
0	95
0	0
0	1
39	0
813	3
45	0
284	0
0	20
11	32
1	167
0	52
0	5
75	0
57	164
99	0
8	60
0	54
0	49
5	35
0	5
56	11
68	0
0	58
16	30
70	0
4	37
236	314
37	547
154	226
0	328
31	0
132	0
20	0
0	49
22	10
0	2734
4	411
0	178
2	69
97	0
2	135
15	152
81	14
4	108
28	18
1	170
130	0
15	0
0	157
1480	0
0	157
74	58
96	257
23	9
11	28
32	0
0	692
0	78
49	0
12	0
549	70
25	217
0	329
0	67
75	47
270	6
14	36
2	4
0	110
81	0
33	24
155	4307
2	2
2	419
129	5
726	140
0	1
14	231
0	5
133	0
3	346
1005	0
8	0
0	0
60	1138
90	438
131	57
35	0
158	252
65	361
147	48
13	0
10	0
0	197
0	0
0	5
1	405
283	88
25	0
92	218
308	134
139	0
40	18
2	93
17	53
0	4
125	0
4	15
1	100
902	828
50	94
34	88
26	25
3	0
43	1
24	65
3	20
0	73
11	9
44	0
80	0
0	128
2	110
5	0
29	0
492	16
0	285
16	910
13	590
44	0
24	3
0	219
242	0
148	0
0	0
143	226
14	0
0	35
0	162
26	23
77	6
0	35
0	10
13	0
162	0
5	25
0	0
247	93
0	38
0	190
59	5822
3	0
100	44
16	0
2	124
17	1
315	0
4	0
0	639
1	0
34	22
15	0
64	16
341	40
0	54
5	14
82	50
0	25
0	21
3	7
413	20
219	3
11	0
0	3862
6	24
36	0
9	167
0	823
0	8
0	0
0	680
6	5
47	17
10	347
1123	136
42	0
3	70
0	99
0	58
0	0
7	17
0	8
61	0
2	252
0	106
267	83
36	37
0	136
66	37
39	39
0	175
1031	222
8	213
1214	0
0	41
5	65
33	2476
21	13
1	18
722	246
93	34
0	0
200	292
71	1673
104	0
59	0
0	7
18	9
0	1
0	0
3	0
100	53
0	40
0	0
59	394
21	104
0	39
0	7
0	143
520	496
0	409
77	84
84	17
78	4
1	23
608	919
798	0
0	509
34	11
70	0
0	1
0	214
79	0
0	28
397	141
33	0
43	0
0	522
25	0
27	0
0	0
43	150
871	127
312	0
46	30
459	0
1266	0
128	0
4481	0
18	3
77	217
7	1186
0	16
54	29
158	3
0	18
0	4908
12	0
647	0
224	259
68	101
589	0
167	0
3	89
11	0
23	556
81	111
93	92
458	0
211	0
1288	1
7	0
15	66
1	2
25	0
130	35
417	777
0	0
1	3
15	0
5	238
68	7
4	24
11	34
593	0
44	0
90	0
58	0
25	2
99	0
77	0
80	0
14	0
0	100
0	19
46	0
1	0
47	12
323	247
55	559
119	0
56	136
0	132
29	0
101	30
200	42
0	510
0	642
178	144
0	63
431	1
2	194
13	0
0	273
23	0
7	10
0	65
41	0
196	0
16	948
86	129
44	53
83	0
404	42
571	9
278	284
0	211
41	19
0	18
13790	5
3	13
617	178
34	1
12	8
1	4
33	0
58	150
42	0
6	1203
277	40
