UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
6	103
0	0
0	0
30	0
0	0
0	0
0	36
0	195
58	196
0	193
12	0
8	0
0	0
0	0
2	157
0	150
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
33	59
0	2
36	117
0	13
0	13
5	0
0	64
1	64
0	0
0	0
0	0
0	0
3	0
1	6
0	0
20	0
0	0
0	0
43	0
74	41
0	37
0	23
1	23
0	0
76	0
0	0
18	10
0	0
0	10
0	10
0	0
0	3
1	4
0	3
0	4
0	160
0	83
0	158
0	80
0	32
33	1046
0	1046
0	0
0	0
0	0
0	2
1	2
0	5
0	0
0	1
0	1
52	33
0	0
1	0
7	1
4	10
0	12
0	0
0	0
0	17
0	17
0	17
0	17
0	1
34	0
0	0
0	0
0	0
0	0
10	0
0	32
0	31
4	32
0	4
0	4
1	1
0	1
0	1
0	0
0	0
4	30
0	19
12	29
4	0
0	11
88	36
0	3
193	76
0	9
0	11
0	2
0	67
1	12
7	54
0	0
9	489
1	176
5	0
89	0
0	0
0	0
0	2
0	10
0	55
0	10
0	57
0	9
3	6
0	3
4	3
0	0
0	0
3	14
0	69
0	88
0	89
108	50
0	4
0	1
0	1
0	1
13	56
0	56
1	22
0	0
1	0
0	8
0	2
0	8
0	5
0	0
0	0
7	3
18	3
0	17
1	1
16	17
0	17
49	3
2	17
12	92
0	0
0	0
0	0
0	0
0	22
53	20
0	0
0	0
2	0
0	0
1	74
1	74
331	0
0	1424
25	1424
0	0
0	0
0	0
0	22
