UniqueCount	AmbigCount
0	0
0	0
0	0
0	89
18	336
1	19
0	33
90	0
1	4
0	7
11	436
0	601
150	608
0	600
152	3
205	0
3	0
0	0
4	622
0	633
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	131
0	131
137	335
0	20
135	59
14	41
0	38
207	0
10	444
4	444
22	67
0	67
0	1
0	0
2	3
7	48
0	17
170	0
0	0
62	0
336	0
179	56
0	55
4	80
3	81
0	1
9	1
0	0
4	16
0	0
0	16
0	3
0	1
0	1
35	30
0	9
0	30
0	2336
13	983
0	2315
0	937
2	85
44	209
0	209
0	0
0	0
0	0
0	45
9	45
0	15
0	9
1	9
0	9
526	163
0	0
5	0
48	11
0	0
0	11
0	0
1	0
0	41
0	41
0	63
1	63
6	25
115	0
1	13
0	0
0	5
0	2
250	0
2	54
0	44
1	54
0	42
12	42
0	0
0	0
0	0
1	4
0	0
40	102
0	53
16	73
42	0
0	6
89	27
0	0
651	234
0	86
3	60
2	66
90	496
6	20
16	232
0	0
94	710
3	166
156	0
484	0
0	0
0	0
10	4
10	411
0	733
0	410
0	738
5	424
2	131
0	33
21	33
0	8
0	14
19	79
0	215
0	226
0	229
305	184
0	10
0	15
0	17
0	17
13	338
0	338
5	67
0	1
8	0
3	73
0	1
0	73
3	5
0	0
1	5
25	30
30	30
6	53
0	21
37	83
8	83
496	24
30	51
30	277
0	26
20	26
0	4
0	25
1	143
180	147
0	15
0	3
19	17
0	3
5	187
18	187
352	0
4	3111
24	3111
0	6
0	6
1	0
0	75
