UniqueCount	AmbigCount
0	0
0	0
0	0
0	109
23	505
0	9
0	23
128	0
3	11
0	1
0	910
0	417
84	422
0	413
251	1
288	1
0	7
0	7
6	545
0	536
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	169
1	169
214	578
0	62
61	124
25	41
0	40
156	0
9	547
8	547
21	25
0	25
0	0
0	0
2	2
10	95
0	25
186	0
0	0
99	0
328	0
282	150
0	147
3	55
9	55
0	1
4	1
3	1
0	23
0	0
0	23
0	0
0	0
0	0
36	37
1	1
0	37
2	2396
6	1066
0	2354
0	997
0	58
82	169
0	169
0	0
0	0
0	0
0	82
14	82
0	21
0	11
0	3
0	3
488	212
0	0
23	0
39	16
0	0
10	17
0	0
2	0
1	27
1	27
0	73
0	72
0	30
299	0
3	17
0	2
0	10
0	5
165	0
2	68
0	62
1	68
0	80
12	80
0	0
0	0
0	0
2	3
2	3
47	113
0	49
24	118
31	2
0	17
92	50
0	2
752	275
0	66
3	35
4	24
104	334
9	17
48	391
0	0
174	1011
8	131
187	0
482	0
0	0
0	0
9	6
5	347
0	729
0	342
0	736
2	347
1	171
0	13
24	13
0	1
0	1
31	110
0	266
0	302
0	303
462	234
0	21
0	17
0	19
0	19
11	308
0	308
10	121
1	0
13	0
0	49
0	1
0	49
6	3
0	0
7	12
23	10
12	10
8	122
1	40
31	188
36	188
461	22
18	42
66	448
1	40
5	40
10	6
0	20
2	220
250	226
0	19
0	2
68	21
0	2
6	176
18	176
555	0
2	3438
18	3438
0	8
0	8
4	0
